"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 27, 2020","14,847.5","14,887.5","15,037.5","14,767.5","477.15K","-0.13%"
"Jul 24, 2020","14,867.5","15,390.0","15,427.5","14,745.0","601.96K","-3.49%"
"Jul 23, 2020","15,405.0","15,300.0","15,547.5","15,172.5","452.77K","0.59%"
"Jul 22, 2020","15,315.0","15,492.5","15,807.5","15,257.5","423.19K","-1.10%"
"Jul 21, 2020","15,485.0","15,400.0","15,595.0","15,377.5","263.07K","0.65%"
"Jul 20, 2020","15,385.0","15,092.5","15,507.5","15,037.5","438.30K","1.99%"
"Jul 17, 2020","15,085.0","14,867.5","15,257.5","14,845.0","489.80K","1.48%"
"Jul 16, 2020","14,865.0","15,627.5","15,752.5","14,865.0","718.21K","-4.88%"
"Jul 15, 2020","15,627.5","15,765.0","15,910.0","15,602.5","422.78K","-0.84%"
"Jul 14, 2020","15,760.0","15,875.0","16,047.5","15,557.5","472.25K","-0.69%"
"Jul 13, 2020","15,870.0","15,740.0","16,120.0","15,682.5","426.15K","0.76%"
"Jul 10, 2020","15,750.0","16,122.5","16,190.0","15,657.5","476.68K","-2.28%"
"Jul 09, 2020","16,117.5","16,050.0","16,207.5","15,920.0","443.55K","0.53%"
"Jul 08, 2020","16,032.5","15,852.5","16,230.0","15,757.5","581.26K","1.12%"
"Jul 07, 2020","15,855.0","15,900.0","16,340.0","15,765.0","787.23K","-0.42%"
"Jul 06, 2020","15,922.5","14,780.0","15,922.5","14,737.5","682.11K","7.73%"
"Jul 03, 2020","14,780.0","14,512.5","14,822.5","14,452.5","344.08K","1.79%"
"Jul 02, 2020","14,520.0","14,140.0","14,520.0","14,052.5","333.29K","2.65%"
"Jul 01, 2020","14,145.0","13,700.0","14,152.5","13,675.0","244.10K","3.23%"
"Jun 30, 2020","13,702.5","13,635.0","13,772.5","13,617.5","183.79K","-1.08%"
"Jun 29, 2020","13,852.5","13,842.5","13,952.5","13,745.0","88.47K","0.20%"
"Jun 26, 2020","13,825.0","13,815.0","13,895.0","13,752.5","83.24K","0.05%"
"Jun 25, 2020","13,817.5","13,865.0","13,907.5","13,697.5","118.69K","-0.32%"
"Jun 24, 2020","13,862.5","13,857.5","13,942.5","13,827.5","313.90K","-0.07%"
"Jun 23, 2020","13,872.5","13,762.5","13,872.5","13,612.5","402.32K","0.87%"
"Jun 22, 2020","13,752.5","13,780.0","13,867.5","13,685.0","290.04K","-0.15%"
"Jun 19, 2020","13,772.5","13,707.5","13,897.5","13,630.0","259.00K","0.58%"
"Jun 18, 2020","13,692.5","13,582.5","13,702.5","13,465.0","218.89K","0.81%"
"Jun 17, 2020","13,582.5","13,577.5","13,670.0","13,487.5","218.32K","0.13%"
"Jun 16, 2020","13,565.0","13,432.5","13,602.5","13,407.5","257.75K","1.14%"
"Jun 15, 2020","13,412.5","13,670.0","13,682.5","13,315.0","292.32K","-1.79%"
"Jun 12, 2020","13,657.5","13,550.0","13,670.0","13,415.0","299.58K","0.72%"
"Jun 11, 2020","13,560.0","13,745.0","13,805.0","13,515.0","247.00K","-1.45%"
"Jun 10, 2020","13,760.0","13,757.5","13,862.5","13,732.5","148.13K","-0.09%"
"Jun 09, 2020","13,772.5","13,762.5","13,880.0","13,715.0","191.80K","0.18%"
"Jun 08, 2020","13,747.5","13,675.0","13,877.5","13,642.5","207.02K","0.46%"
"Jun 05, 2020","13,685.0","13,640.0","13,720.0","13,565.0","159.31K","0.35%"
"Jun 04, 2020","13,637.5","13,652.5","13,805.0","13,592.5","193.68K","-0.04%"
"Jun 03, 2020","13,642.5","13,620.0","13,805.0","13,597.5","216.03K","0.22%"
"Jun 02, 2020","13,612.5","13,350.0","13,672.5","13,335.0","227.46K","2.04%"
"Jun 01, 2020","13,340.0","13,187.5","13,540.0","13,045.0","329.43K","1.10%"
"May 29, 2020","13,195.0","13,195.0","13,217.5","13,020.0","-","-0.73%"
"May 28, 2020","13,292.5","13,267.5","13,400.0","13,130.0","73.85K","0.26%"
"May 27, 2020","13,257.5","13,287.5","13,347.5","13,182.5","309.02K","-0.13%"
"May 26, 2020","13,275.0","13,172.5","13,310.0","13,162.5","327.64K","0.87%"
"May 25, 2020","13,160.0","13,065.0","13,160.0","12,972.5","323.55K","0.77%"
"May 22, 2020","13,060.0","13,365.0","13,377.5","13,020.0","335.20K","-2.17%"
"May 21, 2020","13,350.0","13,437.5","13,535.0","13,350.0","166.88K","-0.65%"
"May 20, 2020","13,437.5","13,395.0","13,470.0","13,355.0","151.37K","0.37%"
"May 19, 2020","13,387.5","13,355.0","13,542.5","13,310.0","164.32K","0.36%"
"May 18, 2020","13,340.0","13,255.0","13,405.0","13,125.0","198.92K","0.64%"
"May 15, 2020","13,255.0","13,352.5","13,420.0","13,217.5","205.47K","-0.79%"
"May 14, 2020","13,360.0","13,432.5","13,490.0","13,292.5","187.53K","-0.63%"
"May 13, 2020","13,445.0","13,455.0","13,522.5","13,332.5","160.57K","-0.20%"
"May 12, 2020","13,472.5","13,465.0","13,512.5","13,337.5","172.31K","-0.02%"
"May 11, 2020","13,475.0","13,440.0","13,607.5","13,420.0","174.04K","0.32%"
"May 08, 2020","13,432.5","13,330.0","13,490.0","13,272.5","184.95K","0.79%"
"May 07, 2020","13,327.5","13,242.5","13,360.0","13,167.5","182.67K","0.64%"
"May 06, 2020","13,242.5","12,885.0","13,327.5","12,857.5","322.71K","2.52%"
"May 05, 2020","12,917.5","12,797.5","12,925.0","12,747.5","88.11K","0.92%"
"May 04, 2020","12,800.0","12,872.5","12,920.0","12,722.5","127.55K","-0.56%"
"May 01, 2020","12,872.5","13,395.0","13,405.0","12,745.0","116.00K","-4.13%"
"Apr 30, 2020","13,427.5","13,280.0","13,512.5","13,250.0","162.17K","0.30%"
"Apr 29, 2020","13,387.5","13,272.5","13,395.0","13,222.5","39.95K","0.62%"
"Apr 28, 2020","13,305.0","13,185.0","13,345.0","13,055.0","282.27K","0.95%"
"Apr 27, 2020","13,180.0","13,005.0","13,237.5","12,997.5","375.97K","1.31%"
"Apr 24, 2020","13,010.0","13,072.5","13,150.0","12,962.5","287.47K","-0.54%"
"Apr 23, 2020","13,080.0","13,080.0","13,160.0","13,022.5","185.28K","0.08%"
"Apr 22, 2020","13,070.0","12,927.5","13,075.0","12,792.5","201.07K","1.10%"
"Apr 21, 2020","12,927.5","13,080.0","13,102.5","12,845.0","210.65K","-1.22%"
"Apr 20, 2020","13,087.5","13,042.5","13,127.5","12,972.5","191.33K","0.31%"
"Apr 17, 2020","13,047.5","12,835.0","13,162.5","12,792.5","277.50K","1.66%"
"Apr 16, 2020","12,835.0","12,802.5","12,930.0","12,710.0","185.66K","0.18%"
"Apr 15, 2020","12,812.5","12,930.0","13,017.5","12,802.5","153.93K","-0.91%"
"Apr 14, 2020","12,930.0","12,772.5","12,980.0","12,690.0","175.52K","1.21%"
"Apr 13, 2020","12,775.0","12,845.0","12,857.5","12,740.0","69.38K","-0.53%"
"Apr 10, 2020","12,842.5","12,800.0","12,972.5","12,720.0","124.03K","0.18%"
"Apr 09, 2020","12,820.0","12,785.0","12,895.0","12,765.0","145.71K","0.35%"
"Apr 08, 2020","12,775.0","13,005.0","13,117.5","12,705.0","215.92K","-1.84%"
"Apr 07, 2020","13,015.0","12,852.5","13,040.0","12,825.0","249.63K","1.34%"
"Apr 06, 2020","12,842.5","12,692.5","12,962.5","12,572.5","111.96K","1.48%"
"Apr 03, 2020","12,655.0","12,682.5","12,732.5","12,560.0","187.54K","-0.16%"
"Apr 02, 2020","12,675.0","12,505.0","12,715.0","12,327.5","205.95K","1.46%"
"Apr 01, 2020","12,492.5","12,592.5","12,727.5","12,460.0","234.83K","-0.85%"
"Mar 31, 2020","12,600.0","12,435.0","12,730.0","12,410.0","237.61K","0.00%"
"Mar 30, 2020","12,600.0","12,715.0","12,737.5","12,427.5","80.80K","-1.12%"
"Mar 27, 2020","12,742.5","12,565.0","12,887.5","12,480.0","319.49K","1.80%"
"Mar 26, 2020","12,517.5","12,657.5","12,780.0","12,472.5","417.07K","-0.91%"
"Mar 25, 2020","12,632.5","12,245.0","12,685.0","12,230.0","372.19K","3.40%"
"Mar 24, 2020","12,217.5","11,807.5","12,320.0","11,775.0","461.13K","3.41%"
"Mar 23, 2020","11,815.0","12,460.0","12,500.0","11,705.0","479.85K","-4.89%"
"Mar 20, 2020","12,422.5","11,982.5","12,495.0","11,850.0","523.64K","3.74%"
"Mar 19, 2020","11,975.0","11,977.5","12,177.5","11,497.5","583.49K","0.08%"
"Mar 18, 2020","11,965.0","12,207.5","12,642.5","11,955.0","520.44K","-3.12%"
"Mar 17, 2020","12,350.0","12,330.0","12,787.5","11,760.0","622.27K","0.00%"
"Mar 16, 2020","12,350.0","13,117.5","13,610.0","12,350.0","543.95K","-5.92%"
"Mar 13, 2020","13,127.5","13,272.5","13,312.5","12,490.0","764.88K","-1.39%"
"Mar 12, 2020","13,312.5","13,665.0","13,680.0","13,227.5","414.94K","-2.22%"
"Mar 11, 2020","13,615.0","13,810.0","13,985.0","13,517.5","367.97K","-1.04%"
"Mar 10, 2020","13,757.5","13,145.0","13,785.0","12,925.0","568.81K","4.86%"
"Mar 09, 2020","13,120.0","13,905.0","13,912.5","13,120.0","591.21K","-5.70%"
"Mar 06, 2020","13,912.5","14,157.5","14,162.5","13,872.5","346.85K","-1.80%"
"Mar 05, 2020","14,167.5","13,797.5","14,222.5","13,782.5","413.93K","2.77%"
"Mar 04, 2020","13,785.0","13,735.0","13,865.0","13,615.0","318.27K","0.31%"
