"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 19, 2021","1,368.90","1,257.91","1,383.75","1,257.91","104.46K","8.82%"
"Jan 18, 2021","1,257.91","1,232.88","1,257.91","1,225.65","81.27K","1.98%"
"Jan 17, 2021","1,233.54","1,228.50","1,233.54","1,183.11","145.53K","0.41%"
"Jan 16, 2021","1,228.51","1,168.81","1,267.39","1,168.81","159.59K","5.11%"
"Jan 15, 2021","1,168.81","1,232.34","1,232.34","1,168.81","237.73K","-5.22%"
"Jan 14, 2021","1,233.17","1,010.59","1,233.17","1,010.59","127.91K","22.02%"
"Jan 13, 2021","1,010.59","1,050.54","1,066.96","1,010.59","49.79K","-3.75%"
"Jan 12, 2021","1,050.01","1,086.75","1,117.60","1,050.01","100.61K","-3.55%"
"Jan 11, 2021","1,088.71","1,255.39","1,255.39","984.99","87.80K","-13.32%"
"Jan 10, 2021","1,256.08","1,333.96","1,339.14","1,256.08","68.07K","4.48%"
"Jan 06, 2021","1,202.23","1,099.95","1,202.23","1,099.95","105.94K","9.31%"
"Jan 05, 2021","1,099.82","1,042.01","1,099.82","1,008.63","126.33K","5.42%"
"Jan 04, 2021","1,043.28","977.56","1,043.28","937.88","133.86K","6.70%"
"Jan 03, 2021","977.80","774.56","977.80","774.56","121.09K","26.24%"
"Jan 02, 2021","774.55","729.15","779.01","729.15","98.63K","6.23%"
"Jan 01, 2021","729.15","736.15","739.32","728.35","73.41K","-0.90%"
"Dec 31, 2020","735.81","752.01","752.01","731.60","95.14K","-2.16%"
"Dec 30, 2020","752.03","731.72","752.03","722.24","167.91K","2.78%"
"Dec 29, 2020","731.72","729.91","731.72","713.72","182.64K","0.18%"
"Dec 28, 2020","730.41","684.56","744.07","684.56","264.01K","6.68%"
"Dec 27, 2020","684.66","636.67","693.99","636.67","190.89K","7.58%"
"Dec 26, 2020","636.44","626.71","647.61","624.16","160.50K","1.55%"
"Dec 25, 2020","626.73","612.60","626.73","612.60","137.29K","2.31%"
"Dec 24, 2020","612.60","585.49","612.60","575.67","145.43K","4.64%"
"Dec 23, 2020","585.41","637.10","637.10","585.41","114.11K","-8.13%"
"Dec 22, 2020","637.21","608.25","637.21","598.92","150.23K","4.76%"
"Dec 21, 2020","608.25","638.51","646.42","608.25","130.12K","-4.74%"
"Dec 20, 2020","638.51","658.28","658.28","638.51","174.73K","-3.00%"
