"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 05, 2020","95.91","97.10","98.51","94.83","3.81M","0.60%"
"Oct 02, 2020","95.34","95.00","102.49","94.54","5.72M","-2.56%"
"Oct 01, 2020","97.84","94.60","99.98","93.53","6.23M","4.44%"
"Sep 30, 2020","93.68","93.62","95.60","91.25","5.30M","0.32%"
"Sep 29, 2020","93.38","91.84","98.78","91.26","9.20M","2.84%"
"Sep 28, 2020","90.80","92.50","93.98","88.00","4.77M","-0.72%"
"Sep 25, 2020","91.46","89.17","92.30","87.37","3.57M","4.57%"
"Sep 24, 2020","87.46","87.07","89.97","85.45","4.53M","-0.74%"
"Sep 23, 2020","88.11","93.82","95.23","87.44","5.81M","-6.57%"
"Sep 22, 2020","94.31","91.50","94.47","88.74","6.28M","1.95%"
"Sep 21, 2020","92.51","83.51","92.77","83.05","11.46M","10.43%"
"Sep 18, 2020","83.77","79.62","84.72","79.46","9.69M","1.69%"
"Sep 17, 2020","82.38","77.91","82.50","77.60","4.05M","-0.17%"
"Sep 16, 2020","82.52","82.79","84.76","81.43","3.84M","-1.86%"
"Sep 15, 2020","84.08","84.38","84.91","81.10","4.01M","0.97%"
"Sep 14, 2020","83.27","82.71","83.66","80.30","6.63M","9.51%"
"Sep 11, 2020","76.04","82.08","83.48","74.22","7.92M","-7.94%"
"Sep 10, 2020","82.60","84.75","87.16","82.15","4.59M","-2.10%"
"Sep 09, 2020","84.37","82.45","84.75","80.72","5.38M","4.06%"
"Sep 08, 2020","81.08","75.17","82.90","74.92","7.49M","0.20%"
"Sep 04, 2020","80.92","81.00","83.12","71.39","12.02M","-0.95%"
"Sep 03, 2020","81.70","87.54","90.03","80.98","10.34M","-10.99%"
"Sep 02, 2020","91.79","95.66","96.13","87.30","8.82M","-3.78%"
"Sep 01, 2020","95.40","93.78","98.38","93.78","8.20M","2.76%"
"Aug 31, 2020","92.84","93.00","93.86","86.37","12.87M","-1.93%"
"Aug 28, 2020","94.67","96.50","98.00","93.15","9.98M","0.34%"
"Aug 27, 2020","94.35","90.24","99.69","90.24","18.21M","5.20%"
"Aug 26, 2020","89.69","90.70","93.40","88.10","9.51M","-0.76%"
"Aug 25, 2020","90.38","83.63","92.60","81.24","15.48M","7.33%"
"Aug 24, 2020","84.21","89.98","89.98","82.39","12.24M","-0.99%"
"Aug 21, 2020","85.05","88.98","92.07","84.90","14.02M","-4.15%"
"Aug 20, 2020","88.73","77.50","89.37","77.50","23.38M","11.84%"
"Aug 19, 2020","79.34","79.08","81.80","76.39","9.35M","1.21%"
"Aug 18, 2020","78.39","80.50","80.83","76.60","7.19M","-0.47%"
"Aug 17, 2020","78.76","76.85","80.15","75.51","6.04M","2.81%"
"Aug 14, 2020","76.61","79.65","81.41","75.60","8.00M","-3.93%"
"Aug 13, 2020","79.74","77.78","81.82","76.64","12.56M","4.99%"
"Aug 12, 2020","75.95","75.00","76.96","73.75","7.62M","1.32%"
"Aug 11, 2020","74.96","76.50","77.70","72.65","11.96M","-4.12%"
"Aug 10, 2020","78.18","82.55","85.25","76.61","14.53M","-1.45%"
"Aug 07, 2020","79.33","87.87","88.15","76.52","23.28M","-11.50%"
"Aug 06, 2020","89.64","90.32","93.71","85.53","29.04M","-17.70%"
"Aug 05, 2020","108.92","113.85","117.79","107.61","13.59M","-6.25%"
"Aug 04, 2020","116.18","112.03","116.26","106.29","10.82M","4.05%"
"Aug 03, 2020","111.66","99.00","111.71","98.84","12.85M","15.72%"
"Jul 31, 2020","96.49","96.24","97.06","90.71","9.08M","4.25%"
"Jul 30, 2020","92.56","83.84","93.34","83.68","9.23M","8.97%"
"Jul 29, 2020","84.94","82.80","86.40","81.25","5.20M","5.29%"
"Jul 28, 2020","80.67","79.23","84.12","79.05","4.20M","0.70%"
"Jul 27, 2020","80.11","80.46","80.94","77.50","4.31M","1.66%"
"Jul 24, 2020","78.80","76.66","79.85","75.22","4.72M","-1.56%"
"Jul 23, 2020","80.05","83.33","86.62","78.50","7.09M","-4.21%"
"Jul 22, 2020","83.57","83.33","85.84","82.36","3.99M","0.76%"
"Jul 21, 2020","82.94","86.89","87.70","80.97","6.44M","-2.25%"
"Jul 20, 2020","84.85","78.30","85.74","77.85","9.66M","8.78%"
"Jul 17, 2020","78.00","79.33","80.60","76.65","7.94M","-0.15%"
"Jul 16, 2020","78.12","80.09","82.30","77.15","7.76M","-5.16%"
"Jul 15, 2020","82.37","80.75","83.58","76.60","10.64M","0.61%"
"Jul 14, 2020","81.87","81.73","85.30","74.00","16.54M","-1.60%"
"Jul 13, 2020","83.20","96.15","96.74","81.52","17.69M","-12.34%"
"Jul 10, 2020","94.91","98.40","100.23","91.40","18.13M","-7.60%"
"Jul 09, 2020","102.72","95.11","102.92","95.11","16.27M","6.82%"
"Jul 08, 2020","96.16","89.26","96.28","89.12","10.33M","9.88%"
"Jul 07, 2020","87.51","83.99","90.49","83.29","10.26M","3.72%"
"Jul 06, 2020","84.37","83.28","86.33","80.32","11.56M","-0.17%"
"Jul 02, 2020","84.51","86.06","87.72","84.20","10.75M","-2.24%"
"Jul 01, 2020","86.45","83.32","87.68","82.22","13.91M","1.55%"
"Jun 30, 2020","85.13","79.70","85.79","79.69","13.43M","8.93%"
"Jun 29, 2020","78.15","87.45","88.94","76.26","23.37M","-9.66%"
"Jun 26, 2020","86.51","83.00","87.97","80.78","26.78M","5.93%"
"Jun 25, 2020","81.67","77.75","82.63","76.30","16.44M","7.36%"
"Jun 24, 2020","76.07","73.47","77.82","69.62","21.52M","0.22%"
"Jun 23, 2020","75.90","76.31","81.66","74.67","34.80M","3.59%"
"Jun 22, 2020","73.27","64.90","73.46","64.15","12.51M","15.04%"
"Jun 19, 2020","63.69","65.00","65.38","62.25","10.83M","2.49%"
"Jun 18, 2020","62.14","58.36","63.29","58.36","6.20M","6.68%"
"Jun 17, 2020","58.25","54.20","60.05","53.86","7.23M","8.76%"
"Jun 16, 2020","53.56","53.51","54.36","51.60","3.53M","3.04%"
"Jun 15, 2020","51.98","47.30","52.34","46.56","4.59M","11.02%"
"Jun 12, 2020","46.82","47.49","48.58","45.67","2.45M","2.18%"
"Jun 11, 2020","45.82","44.50","49.38","44.50","4.22M","-4.26%"
"Jun 10, 2020","47.86","46.30","49.79","45.86","4.38M","5.14%"
"Jun 09, 2020","45.52","47.67","47.71","42.79","4.02M","-4.25%"
"Jun 08, 2020","47.54","44.29","48.59","43.67","4.16M","5.43%"
"Jun 05, 2020","45.09","45.40","46.49","44.03","4.47M","-4.85%"
"Jun 04, 2020","47.39","47.82","49.80","46.58","2.72M","-1.41%"
"Jun 03, 2020","48.07","47.96","50.49","47.61","3.62M","0.48%"
"Jun 02, 2020","47.84","47.67","48.15","45.25","4.46M","1.23%"
"Jun 01, 2020","47.26","44.15","47.98","43.14","5.54M","9.55%"
"May 29, 2020","43.14","40.50","43.18","40.40","5.59M","6.26%"
"May 28, 2020","40.60","39.14","42.26","38.89","3.88M","2.99%"
"May 27, 2020","39.42","38.61","39.93","36.13","5.25M","0.28%"
"May 26, 2020","39.31","41.91","41.94","38.80","4.80M","-4.31%"
"May 22, 2020","41.08","45.27","45.53","40.90","8.28M","-7.16%"
"May 21, 2020","44.25","41.00","44.25","40.27","11.46M","4.02%"
"May 20, 2020","42.54","42.00","42.96","41.07","2.82M","5.93%"
"May 19, 2020","40.16","38.39","41.83","38.22","3.13M","2.84%"
"May 18, 2020","39.05","42.23","42.52","38.75","4.82M","-1.14%"
"May 15, 2020","39.50","37.04","39.52","36.65","3.04M","7.31%"
"May 14, 2020","36.81","35.96","37.85","35.26","2.86M","0.71%"
"May 13, 2020","36.55","37.35","39.07","34.43","5.08M","-1.48%"
"May 12, 2020","37.10","34.55","38.98","33.62","6.80M","8.10%"
"May 11, 2020","34.32","35.00","35.96","33.01","5.16M","-1.38%"
"May 08, 2020","34.80","32.14","35.64","31.03","8.02M","3.63%"
"May 07, 2020","33.58","29.30","34.65","26.64","18.21M","45.68%"
"May 06, 2020","23.05","23.30","23.54","22.62","2.90M","1.36%"
"May 05, 2020","22.74","22.49","23.12","22.01","1.49M","3.32%"
"May 04, 2020","22.01","20.61","22.17","20.57","1.49M","2.23%"
"May 01, 2020","21.53","21.02","21.92","20.81","1.37M","-0.55%"
"Apr 30, 2020","21.65","22.50","22.62","21.60","1.64M","-3.31%"
"Apr 29, 2020","22.39","22.53","23.26","21.68","1.85M","-0.97%"
"Apr 28, 2020","22.61","23.84","24.04","22.36","1.44M","-4.60%"
"Apr 27, 2020","23.70","23.75","23.96","23.21","1.33M","3.27%"
"Apr 24, 2020","22.95","22.49","23.48","22.08","1.34M","1.95%"
"Apr 23, 2020","22.51","23.37","23.82","22.51","1.32M","-4.54%"
"Apr 22, 2020","23.58","23.06","24.13","22.53","2.16M","6.46%"
"Apr 21, 2020","22.15","23.00","23.99","21.60","3.20M","-7.63%"
"Apr 20, 2020","23.98","23.19","25.23","23.18","3.77M","3.41%"
"Apr 17, 2020","23.19","23.64","24.21","22.41","3.83M","0.96%"
"Apr 16, 2020","22.97","22.01","23.09","21.91","2.72M","4.69%"
"Apr 15, 2020","21.94","21.34","22.46","21.21","2.25M","-0.77%"
"Apr 14, 2020","22.11","22.80","22.80","21.55","2.04M","0.09%"
"Apr 13, 2020","22.09","20.65","22.55","20.52","2.59M","6.46%"
"Apr 09, 2020","20.75","21.21","21.70","20.46","1.04M","-0.67%"
"Apr 08, 2020","20.89","20.00","21.10","20.00","1.22M","5.29%"
"Apr 07, 2020","19.84","21.00","21.29","19.45","1.41M","-3.60%"
"Apr 06, 2020","20.58","20.07","20.75","19.55","1.50M","5.81%"
"Apr 03, 2020","19.45","18.11","19.45","18.01","1.26M","7.76%"
"Apr 02, 2020","18.05","17.44","18.71","17.18","976.43K","2.50%"
"Apr 01, 2020","17.61","18.20","18.86","17.38","1.59M","-7.22%"
"Mar 31, 2020","18.98","19.06","19.48","18.77","1.84M","0.58%"
"Mar 30, 2020","18.87","18.40","19.04","18.27","1.05M","3.62%"
"Mar 27, 2020","18.21","17.61","18.47","17.23","1.18M","0.83%"
"Mar 26, 2020","18.06","18.25","18.96","17.60","1.10M","0.61%"
"Mar 25, 2020","17.95","18.68","19.38","17.00","2.10M","-3.91%"
"Mar 24, 2020","18.68","19.59","19.59","18.03","2.38M","3.89%"
"Mar 23, 2020","17.98","18.00","18.92","17.53","1.91M","1.52%"
"Mar 20, 2020","17.71","18.32","19.29","17.26","2.63M","4.18%"
"Mar 19, 2020","17.00","14.25","17.49","13.88","2.35M","18.22%"
"Mar 18, 2020","14.38","12.62","15.80","12.59","2.10M","5.43%"
"Mar 17, 2020","13.64","11.52","14.23","10.65","3.16M","22.55%"
"Mar 16, 2020","11.13","12.52","13.14","10.63","2.50M","-20.50%"
"Mar 13, 2020","14.00","14.95","15.49","13.52","2.71M","6.54%"
"Mar 12, 2020","13.14","13.17","15.14","12.41","3.08M","-13.95%"
"Mar 11, 2020","15.27","16.55","17.10","15.00","2.51M","-11.68%"
"Mar 10, 2020","17.29","18.04","18.15","16.43","2.74M","0.93%"
"Mar 09, 2020","17.13","17.32","18.12","16.00","2.26M","-9.79%"
"Mar 06, 2020","18.99","21.26","21.39","18.94","3.13M","-14.03%"
"Mar 05, 2020","22.09","20.82","22.39","20.75","4.54M","2.98%"
"Mar 04, 2020","21.45","21.43","21.64","20.62","2.07M","5.93%"
"Mar 03, 2020","20.25","21.10","21.77","20.05","3.45M","-1.17%"
"Mar 02, 2020","20.49","20.04","20.59","19.61","2.29M","3.48%"
"Feb 28, 2020","19.80","18.78","19.81","18.50","3.25M","0.97%"
"Feb 27, 2020","19.61","19.87","19.87","18.50","4.10M","-5.22%"
"Feb 26, 2020","20.69","20.44","20.99","19.66","3.04M","0.88%"
"Feb 25, 2020","20.51","20.75","20.92","19.32","3.57M","-0.68%"
"Feb 24, 2020","20.65","21.59","22.11","20.21","3.25M","-10.64%"
"Feb 21, 2020","23.11","22.58","23.85","21.72","5.90M","-6.02%"
"Feb 20, 2020","24.59","24.02","24.98","23.26","3.56M","1.61%"
"Feb 19, 2020","24.20","22.99","24.68","22.92","2.28M","6.14%"
"Feb 18, 2020","22.80","23.04","23.34","22.36","1.58M","-0.70%"
"Feb 14, 2020","22.96","22.64","22.96","22.40","1.45M","2.23%"
"Feb 13, 2020","22.46","22.43","22.75","22.01","1.50M","0.72%"
"Feb 12, 2020","22.30","22.03","22.53","21.50","1.56M","1.97%"
"Feb 11, 2020","21.87","21.80","22.35","21.38","1.07M","0.23%"
"Feb 10, 2020","21.82","21.69","22.04","21.60","876.81K","0.97%"
"Feb 07, 2020","21.61","21.75","22.19","21.46","1.26M","-0.46%"
"Feb 06, 2020","21.71","21.24","22.03","21.10","1.07M","3.04%"
"Feb 05, 2020","21.07","22.81","23.06","20.52","3.26M","-7.38%"
"Feb 04, 2020","22.75","22.60","22.78","22.10","1.40M","1.43%"
"Feb 03, 2020","22.43","22.59","23.12","22.30","1.38M","-0.36%"
"Jan 31, 2020","22.51","23.06","23.23","22.23","1.42M","-3.60%"
"Jan 30, 2020","23.35","24.00","24.00","22.62","1.20M","-3.91%"
"Jan 29, 2020","24.30","23.89","24.45","23.41","1.21M","2.70%"
"Jan 28, 2020","23.66","23.22","23.85","22.85","956.81K","3.50%"
"Jan 27, 2020","22.86","23.05","23.57","22.68","1.02M","-4.79%"
"Jan 24, 2020","24.01","25.34","25.94","23.40","1.73M","-4.65%"
"Jan 23, 2020","25.18","24.48","25.34","23.80","1.45M","2.11%"
"Jan 22, 2020","24.66","24.84","25.14","24.55","1.71M","0.90%"
"Jan 21, 2020","24.44","24.24","25.06","23.81","1.94M","0.12%"
