"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 08, 2020","390.00","390.00","428.68","386.45","11.51M","0.27%"
"Dec 07, 2020","388.96","390.91","403.03","371.46","8.13M","0.32%"
"Dec 04, 2020","387.70","335.40","395.80","334.00","18.61M","14.07%"
"Dec 03, 2020","339.89","291.40","342.98","289.74","11.10M","16.13%"
"Dec 02, 2020","292.69","293.00","305.01","288.52","3.58M","-4.24%"
"Dec 01, 2020","305.64","325.39","325.99","302.45","2.66M","-6.20%"
"Nov 30, 2020","325.84","336.11","341.30","312.60","3.55M","-0.90%"
"Nov 27, 2020","328.79","310.00","334.62","309.73","3.29M","8.50%"
"Nov 25, 2020","303.02","278.00","309.76","278.00","2.91M","7.42%"
"Nov 24, 2020","282.10","275.59","283.38","268.00","1.74M","2.90%"
"Nov 23, 2020","274.15","268.28","274.15","259.48","1.36M","3.06%"
"Nov 22, 2020","266.00","266.00","266.00","266.00","-","0.00%"
"Nov 21, 2020","266.00","266.00","266.00","266.00","-","0.00%"
"Nov 20, 2020","266.00","268.00","273.00","264.00","1.60M","0.76%"
"Nov 19, 2020","264.00","260.54","268.28","253.25","1.59M","1.33%"
"Nov 18, 2020","260.54","252.67","262.25","251.09","2.20M","5.04%"
"Nov 17, 2020","248.03","245.00","251.45","244.00","1.63M","2.56%"
"Nov 16, 2020","241.85","234.50","244.10","230.25","1.80M","3.00%"
"Nov 15, 2020","234.80","234.80","234.80","234.80","-","0.00%"
"Nov 14, 2020","234.80","234.80","234.80","234.80","-","0.00%"
"Nov 13, 2020","234.80","237.63","241.60","232.35","1.49M","-0.25%"
"Nov 12, 2020","235.38","243.84","244.03","232.16","1.74M","-2.23%"
"Nov 11, 2020","240.76","241.36","246.60","237.50","1.44M","2.16%"
"Nov 10, 2020","235.68","249.00","249.00","230.00","2.27M","-1.73%"
"Nov 09, 2020","239.84","264.00","265.95","239.13","2.97M","-9.49%"
"Nov 06, 2020","265.00","263.44","270.00","259.20","986.80K","0.68%"
"Nov 05, 2020","263.21","269.55","270.85","258.90","1.27M","-0.27%"
"Nov 04, 2020","263.91","271.00","274.87","262.25","1.39M","0.68%"
"Nov 03, 2020","262.13","256.39","264.50","254.56","1.38M","3.92%"
"Nov 02, 2020","252.23","254.10","260.83","247.00","1.30M","0.88%"
"Oct 30, 2020","250.02","261.19","261.19","241.60","2.40M","-5.97%"
"Oct 29, 2020","265.88","273.72","276.15","264.31","1.15M","-2.41%"
"Oct 28, 2020","272.44","256.87","272.49","254.17","2.09M","2.13%"
"Oct 27, 2020","266.77","254.09","272.85","254.09","3.49M","6.12%"
"Oct 26, 2020","251.39","266.48","270.80","244.67","4.04M","-5.15%"
"Oct 23, 2020","265.05","290.34","294.00","262.24","5.62M","-10.78%"
"Oct 22, 2020","297.09","268.98","300.73","263.09","5.19M","9.79%"
"Oct 21, 2020","270.61","251.56","271.13","250.74","3.36M","7.48%"
"Oct 20, 2020","251.77","247.94","252.49","243.50","1.73M","2.02%"
"Oct 19, 2020","246.78","245.10","249.82","243.00","1.54M","1.76%"
"Oct 16, 2020","242.52","242.00","245.99","241.59","1.02M","0.63%"
"Oct 15, 2020","241.00","235.50","241.02","231.50","1.85M","-0.90%"
"Oct 14, 2020","243.18","250.61","251.75","239.26","1.71M","-2.58%"
"Oct 13, 2020","249.61","246.77","250.50","245.38","1.46M","2.31%"
"Oct 12, 2020","243.97","250.00","251.50","243.00","3.14M","2.51%"
"Oct 09, 2020","238.00","242.00","243.70","235.47","1.73M","-0.91%"
"Oct 08, 2020","240.19","250.00","250.00","240.00","1.34M","-2.36%"
"Oct 07, 2020","246.00","246.80","252.32","245.61","1.68M","0.37%"
"Oct 06, 2020","245.10","244.18","247.99","239.00","1.57M","2.13%"
"Oct 05, 2020","240.00","231.61","243.16","231.23","2.36M","5.68%"
"Oct 02, 2020","227.10","232.44","243.12","227.00","2.73M","-6.72%"
"Oct 01, 2020","243.46","254.00","255.49","238.00","3.98M","-3.00%"
"Sep 30, 2020","251.00","261.00","277.83","243.28","5.42M","-3.14%"
"Sep 29, 2020","259.13","255.00","259.50","246.12","5.31M","3.48%"
"Sep 28, 2020","250.41","235.99","253.00","235.99","4.24M","9.35%"
"Sep 25, 2020","229.00","228.12","236.26","227.90","1.99M","1.00%"
"Sep 24, 2020","226.74","214.69","230.52","208.60","4.82M","4.30%"
"Sep 23, 2020","217.39","242.12","254.71","213.09","5.85M","-7.56%"
"Sep 22, 2020","235.16","238.90","238.90","225.28","3.89M","2.76%"
"Sep 21, 2020","228.85","227.75","241.00","218.61","5.52M","-4.65%"
"Sep 18, 2020","240.00","235.00","249.00","218.59","7.48M","5.48%"
"Sep 17, 2020","227.54","231.20","241.43","215.65","11.91M","-10.39%"
