"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 25, 2021","32,268.1","32,298.0","34,693.0","32,268.1","9.23K","-0.09%"
"Jan 24, 2021","32,298.0","32,099.0","32,830.0","31,481.0","5.89K","0.62%"
"Jan 23, 2021","32,099.0","33,062.0","33,062.0","31,773.0","7.07K","-2.91%"
"Jan 22, 2021","33,062.0","30,852.0","33,631.0","28,991.0","15.72K","7.09%"
"Jan 21, 2021","30,873.0","35,522.0","35,522.0","30,609.0","22.35K","-13.09%"
"Jan 20, 2021","35,521.1","35,915.0","36,263.0","33,447.0","14.14K","-1.22%"
"Jan 19, 2021","35,958.0","36,699.0","37,673.0","35,958.0","9.61K","-2.02%"
"Jan 18, 2021","36,699.0","35,913.0","36,906.0","35,180.0","8.41K","2.22%"
"Jan 17, 2021","35,903.0","36,061.0","36,570.0","33,914.0","9.85K","-0.42%"
"Jan 16, 2021","36,055.0","36,741.0","37,750.0","35,809.0","10.84K","-1.87%"
"Jan 15, 2021","36,741.0","39,145.0","39,476.0","35,268.0","15.55K","-6.20%"
"Jan 14, 2021","39,170.0","37,374.0","39,750.0","37,193.0","12.97K","4.80%"
"Jan 13, 2021","37,375.0","34,106.0","37,418.0","33,160.0","14.89K","9.59%"
"Jan 12, 2021","34,103.0","35,448.0","35,838.6","33,616.0","22.18K","-3.87%"
"Jan 11, 2021","35,476.0","38,226.0","38,226.0","31,842.0","48.04K","-7.19%"
"Jan 10, 2021","38,226.0","40,171.0","41,209.3","37,436.0","19.01K","-4.84%"
"Jan 09, 2021","40,171.0","40,509.0","41,046.0","38,966.0","8.17K","-0.83%"
"Jan 08, 2021","40,509.0","39,407.0","41,616.0","37,723.0","21.79K","2.80%"
"Jan 07, 2021","39,407.0","36,755.0","39,672.0","36,755.0","22.11K","7.22%"
"Jan 06, 2021","36,755.0","33,986.0","36,755.0","33,901.0","18.62K","8.12%"
"Jan 05, 2021","33,996.0","32,020.0","33,996.0","30,979.1","14.48K","6.17%"
"Jan 04, 2021","32,020.0","32,971.0","33,403.0","29,178.0","24.68K","-2.88%"
"Jan 03, 2021","32,971.0","32,183.0","34,253.0","32,110.0","18.91K","2.44%"
"Jan 02, 2021","32,185.0","29,346.0","33,168.0","29,192.0","22.01K","9.67%"
"Jan 01, 2021","29,346.0","28,933.0","29,498.0","28,932.0","8.33K","1.43%"
"Dec 31, 2020","28,933.0","28,880.0","29,133.0","28,358.0","12.22K","0.18%"
"Dec 30, 2020","28,880.0","27,316.0","28,892.0","27,316.0","10.51K","5.73%"
"Dec 29, 2020","27,315.0","27,058.0","27,315.0","25,923.0","8.92K","0.95%"
"Dec 28, 2020","27,058.0","26,241.0","27,308.0","26,241.0","7.60K","3.11%"
"Dec 27, 2020","26,241.0","26,410.0","28,051.1","26,241.0","17.96K","-0.65%"
"Dec 26, 2020","26,412.0","24,717.0","26,577.0","24,566.0","13.15K","6.86%"
"Dec 25, 2020","24,717.0","23,743.0","24,717.0","23,491.0","13.78K","4.14%"
"Dec 24, 2020","23,735.0","23,234.0","23,735.0","22,860.0","4.75K","2.16%"
"Dec 23, 2020","23,234.0","23,805.0","23,916.0","22,917.0","12.07K","-2.40%"
"Dec 22, 2020","23,805.0","22,701.0","23,805.0","22,489.7","7.41K","4.86%"
"Dec 21, 2020","22,701.0","23,432.7","23,901.0","22,483.0","14.18K","-3.10%"
"Dec 20, 2020","23,427.0","23,804.0","24,099.0","23,331.7","9.60K","-1.58%"
"Dec 19, 2020","23,804.0","23,127.0","24,058.0","22,966.0","9.67K","2.93%"
"Dec 18, 2020","23,127.0","22,806.6","23,142.0","22,544.0","7.28K","1.41%"
"Dec 17, 2020","22,806.6","21,322.0","23,492.0","21,322.0","22.87K","6.96%"
"Dec 16, 2020","21,322.0","19,459.0","21,322.0","19,388.0","21.07K","9.57%"
"Dec 15, 2020","19,459.0","19,282.0","19,548.0","19,135.0","6.93K","0.92%"
"Dec 14, 2020","19,281.0","19,180.0","19,281.0","19,076.0","2.53K","0.53%"
"Dec 13, 2020","19,180.0","18,818.0","19,338.1","18,747.0","4.83K","1.96%"
"Dec 12, 2020","18,810.6","18,050.0","18,821.0","18,050.0","3.68K","4.21%"
"Dec 11, 2020","18,050.0","18,260.0","18,260.0","17,764.0","6.57K","-1.15%"
"Dec 10, 2020","18,260.0","18,560.0","18,560.0","18,155.0","3.66K","-1.62%"
"Dec 09, 2020","18,560.0","18,337.0","18,630.0","17,827.0","9.77K","1.23%"
"Dec 08, 2020","18,335.0","19,196.0","19,299.0","18,335.0","9.62K","-4.49%"
"Dec 07, 2020","19,196.0","19,410.0","19,410.0","18,959.4","2.29K","-1.10%"
"Dec 06, 2020","19,410.0","19,157.0","19,410.0","19,015.6","4.33K","1.32%"
